City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Menongue,AO,2021-04-02 00:09:04,-14.6585,17.691,63.14,97,99,3.78
245,Sao Joao Da Barra,BR,2021-04-02 00:09:04,-21.6403,-41.0511,73.85,79,28,7.81
246,Caravelas,BR,2021-04-02 00:09:05,-17.7125,-39.2481,76.28,91,32,2.01
247,Butembo,CD,2021-04-02 00:09:05,0.15,29.2833,56.1,96,82,3.06
248,Gandajika,CD,2021-04-02 00:09:05,-6.75,23.95,66.58,94,61,3.2
249,Algiers,DZ,2021-04-02 00:07:55,36.7525,3.042,64.4,68,0,3.44
250,Mahebourg,MU,2021-04-02 00:09:06,-20.4081,57.7,77.0,94,75,3.44
251,Port Augusta,AU,2021-04-02 00:09:06,-32.5,137.7667,81.0,32,0,5.75
252,Salinas,US,2021-04-02 00:04:19,36.6777,-121.6555,78.8,19,1,12.66
253,Kitgum,UG,2021-04-02 00:09:06,3.2783,32.8867,69.89,71,38,4.05
254,San Patricio,US,2021-04-02 00:09:07,28.017,-97.5169,68.0,37,75,13.8
255,Lumphat,KH,2021-04-02 00:09:07,13.4878,106.9816,82.74,59,56,3.0
256,Biala Podlaska,PL,2021-04-02 00:05:03,52.0324,23.1165,46.4,87,90,15.66
257,Port Lincoln,AU,2021-04-02 00:09:07,-34.7333,135.8667,77.05,41,0,8.39
258,Porto Walter,BR,2021-04-02 00:09:08,-8.2686,-72.7439,74.46,91,23,2.75
259,Rocha,UY,2021-04-02 00:09:08,-34.4833,-54.3333,58.33,87,21,4.63
260,Mendeleyevo,RU,2021-04-02 00:09:08,56.0333,37.2167,35.6,87,40,6.71
261,Vila,PT,2021-04-02 00:09:09,42.0304,-8.1588,54.0,94,97,0.4
262,Flinders,AU,2021-04-02 00:09:09,-34.5833,150.8552,75.0,71,64,3.0
263,Arraial Do Cabo,BR,2021-04-02 00:09:09,-22.9661,-42.0278,76.59,76,23,21.45
264,Tubuala,PA,2021-04-02 00:09:10,9.5167,-79.0333,82.4,69,40,10.36
265,Tasiilaq,GL,2021-04-02 00:09:10,65.6145,-37.6368,28.4,93,90,3.44
266,Narsipatnam,IN,2021-04-02 00:09:11,17.6667,82.6167,82.4,94,40,4.61
267,Alappuzha,IN,2021-04-02 00:06:30,9.49,76.3264,82.83,70,48,8.88
268,Jizan,SA,2021-04-02 00:09:11,17.3333,42.6667,78.8,69,0,3.44
269,Goryachegorsk,RU,2021-04-02 00:09:11,55.4053,88.9154,17.58,90,82,4.34
270,Chiredzi,ZW,2021-04-02 00:09:12,-21.05,31.6667,63.19,72,31,2.15
271,Gomoh,IN,2021-04-02 00:09:12,23.8667,86.1667,73.94,5,0,3.6
272,Harper,LR,2021-04-02 00:09:12,4.375,-7.7169,78.67,89,44,6.93
273,Carauari,BR,2021-04-02 00:09:13,-4.8828,-66.8958,74.1,96,81,1.83
274,Marzuq,YE,2021-04-02 00:09:13,14.4,46.4667,67.91,22,16,4.9
275,Shaturtorf,RU,2021-04-02 00:09:13,55.5672,39.4169,32.86,99,100,4.54
276,Sweetwater,US,2021-04-02 00:09:14,25.7634,-80.3731,75.99,78,90,12.66
277,Nanortalik,GL,2021-04-02 00:09:14,60.1432,-45.2371,36.21,87,100,9.44
278,Maarianhamina,AX,2021-04-02 00:09:14,60.0973,19.9348,32.0,93,0,1.14
279,Boguchany,RU,2021-04-02 00:09:15,58.3814,97.4531,27.23,90,100,9.78
280,Bethel,US,2021-04-02 00:09:15,41.3712,-73.414,39.99,70,92,1.99
281,Pevek,RU,2021-04-02 00:09:15,69.7008,170.3133,-6.48,90,42,1.59
282,San Vicente De Canete,PE,2021-04-02 00:04:56,-13.0751,-76.3835,70.52,82,17,5.1
283,Oksfjord,NO,2021-04-02 00:09:16,70.2396,22.3479,28.4,74,100,4.61
284,Korla,CN,2021-04-02 00:09:16,41.7597,86.1469,45.52,48,89,17.85
285,Awjilah,LY,2021-04-02 00:09:16,29.1081,21.2869,55.09,51,2,7.61
286,Puerto Madryn,AR,2021-04-02 00:09:17,-42.7692,-65.0385,61.84,77,87,11.12
287,Hare Bay,CA,2021-04-02 00:09:17,48.8499,-54.0148,41.0,93,75,8.05
288,Kununurra,AU,2021-04-02 00:09:17,-15.7667,128.7333,82.4,61,100,4.61
289,Riyadh,SA,2021-04-02 00:06:46,24.6877,46.7219,80.6,21,0,4.61
290,Aksu,CN,2021-04-02 00:09:18,41.1231,80.2644,40.1,78,100,8.55
291,Hede,CN,2021-04-02 00:09:18,33.7681,120.2517,52.61,96,100,8.72
292,Dezhou,CN,2021-04-02 00:09:18,37.4486,116.2925,58.01,40,100,7.72
293,Vila Velha,BR,2021-04-02 00:09:19,-20.3297,-40.2925,75.2,94,90,3.44
