City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Meulaboh,ID,4.1363,96.1285,84.51,65,100,2.15,overcast clouds
304,Tadine,NC,-21.55,167.8833,77.25,75,96,18.45,overcast clouds
305,Bandarbeyla,SO,9.4942,50.8122,80.24,69,99,2.75,overcast clouds
306,Codrington,AU,-38.2667,141.9667,64.74,65,27,13.09,scattered clouds
307,Laguna,US,38.421,-121.4238,53.01,62,1,11.5,clear sky
308,Rawson,AR,-43.3002,-65.1023,66.67,52,30,4.03,scattered clouds
309,Never,FR,46.9896,3.159,33.01,81,1,6.15,clear sky
310,Kayanza,BI,-3.0667,29.6667,59.02,93,100,0.94,overcast clouds
311,San Quintin,MX,30.4833,-115.95,59.14,83,12,11.74,few clouds
312,Luangwa,ZM,-15.6167,30.4167,67.24,82,12,1.57,few clouds
313,Rosario,AR,-32.9468,-60.6393,64.0,82,0,3.71,light rain
314,Zeya,RU,53.75,127.2667,30.67,81,99,2.68,overcast clouds
315,Dnestrovsc,MD,46.6222,29.9133,41.0,93,90,5.84,overcast clouds
316,La Rioja,ES,42.25,-2.5,44.01,81,0,9.22,clear sky
317,Adrar,MR,20.5022,-10.0711,75.2,23,67,9.24,broken clouds
318,Wadi Maliz,TN,36.4681,8.5495,51.8,87,40,3.44,scattered clouds
319,Omboue,GA,-1.5746,9.2618,76.15,93,100,7.36,overcast clouds
320,Kahului,US,20.8947,-156.47,73.4,83,40,18.41,light rain
321,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,68,75,5.75,broken clouds
322,Karcsa,HU,48.3113,21.8054,39.2,60,94,8.95,overcast clouds
323,Dalianwan,CN,39.0286,121.695,53.6,28,0,13.42,clear sky
324,Ust-Uda,RU,54.1742,103.0304,36.66,87,100,11.68,light snow
325,Ovsyanka,RU,55.9575,92.5519,35.6,80,75,6.71,light snow
326,Mabaruma,GY,8.2,-59.7833,73.63,97,96,3.8,overcast clouds
327,Okitipupa,NG,6.5047,4.7839,75.97,95,73,1.1,broken clouds
328,Kovernino,RU,57.1253,43.8142,30.83,91,79,5.26,broken clouds
329,Maun,BW,-19.9833,23.4167,64.4,94,0,2.3,clear sky
330,Arman,RU,59.7,150.1667,27.64,55,100,13.87,overcast clouds
331,Kasongo-Lunda,CD,-6.4667,16.8167,69.08,98,100,0.67,overcast clouds
332,Gibara,CU,21.1097,-76.1317,69.8,88,20,11.5,few clouds
333,Bilibino,RU,68.0546,166.4372,4.28,84,27,1.79,scattered clouds
334,Srandakan,ID,-7.9386,110.2506,85.48,71,68,7.85,broken clouds
335,Alihe,CN,50.5667,123.7167,46.53,32,62,9.84,broken clouds
336,Ambilobe,MG,-13.2,49.05,78.04,81,7,3.02,clear sky
337,Touros,BR,-5.1989,-35.4608,75.2,94,40,3.44,scattered clouds
338,Mersing,MY,2.4312,103.8405,82.4,94,40,4.61,heavy intensity rain
339,Loreto,MX,22.2667,-101.9667,59.83,46,100,3.18,overcast clouds
340,Vestmannaeyjar,IS,63.4427,-20.2734,30.4,67,28,29.75,scattered clouds
341,Ukiah,US,39.1502,-123.2078,50.0,66,20,3.44,few clouds
342,Tamboril,DO,19.4854,-70.611,73.0,100,75,3.44,broken clouds
343,Tornio,FI,65.8481,24.1466,35.6,87,0,9.22,clear sky
344,General Roca,AR,-39.0333,-67.5833,62.6,88,0,3.44,clear sky
